No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1,WISEA J000022.69-010350.4,0.0944,-1.06401,*,1199170,4,PHOT,21.7g,0,1,0,25,5,1,4,0
2,SDSS J000022.88-010351.4,0.09537,-1.0643,*,1274118,4.25,PHOT,23.3g,0,1,0,5,2,1,4,0
3,SDSS J000045.96-005546.0,0.19151,-0.92947,G,1259128,4.2,PHOT,22.1g,0,1,0,15,2,1,4,0
4,SDSS J000046.67+010951.3,0.19448,1.16426,*,1273557,4.248128,SPEC,24.1g,0,8,0,5,4,3,4,0
5,SDSS J000101.47+010230.5,0.25615,1.04181,G,1349066,4.5,PHOT,26.0g,0,1,0,15,2,1,4,0
6,WISEA J000107.21-000713.4,0.28012,-0.1204,G,1304097,4.35,PHOT,22.7g,0,1,0,27,3,1,4,0
7,[YWF2017] J000.31996-00.49484,0.31997,-0.49484,QSO,1349066,4.5,PHOT,,0,1,0,0,1,1,0,0
8,WISEA J000119.27+010546.0,0.33039,1.09618,*,1259128,4.2,PHOT,22.9g,0,1,0,17,3,1,4,0
9,WISEA J000121.62+265008.9,0.34011,26.83588,QSO,1723807,5.75,,,0,4,0,12,2,1,0,0
10,SDSS J000136.52+005854.2,0.40217,0.98174,*,1274118,4.25,PHOT,24.1g,0,1,0,5,2,1,4,0
11,SDSS J000140.41-005048.4,0.41842,-0.8468,*,1257630,4.195,PHOT,23.2g,0,2,0,5,1,1,3,0
12,[YWF2017] J000.45089-00.18836,0.45089,-0.18836,QSO,1439004,4.8,PHOT,,0,1,0,0,1,1,0,0
13,WISEA J000239.39+255035.1,0.66412,25.843,QSO,1744792,5.82,,18.9z,0,48,0,35,14,12,0,0
14,SDSS J000243.01-001958.1,0.67925,-0.33281,*,1439004,4.8,PHOT,24.6g,0,1,0,5,2,1,3,0
15,WISEA J000314.99-000018.2,0.81248,-0.00499,G,1364056,4.55,PHOT,23.3g,0,1,0,31,4,1,4,0
16,[HB89] 0000-263,0.84546,-26.05467,QSO,1228550,4.098,,18,0,196,5,8,11,11,0,0
17,WISEA J000322.94-260318.3,0.84563,-26.05507,IrS,1232447,4.111,SPEC,,0,3,0,39,7,1,1,0
18,WISEA J000323.06+273024.2,0.84625,27.50639,QSO,1271120,4.24,,19,0,13,1,12,3,2,0,0
19,SDSS J000335.05-003002.3,0.89607,-0.50064,G,1379046,4.6,PHOT,24.5g,0,1,0,15,2,1,3,0
20,SDSS J000404.71+000039.0,1.01966,0.01086,*,1299836,4.335785,SPEC,23.1g,0,10,0,5,4,5,4,0
21,WISEA J000406.31+011001.5,1.02605,1.16724,G,1244139,4.15,PHOT,23.2g,0,1,0,27,3,1,4,0
22,WISEA J000424.41+150452.8,1.10166,15.08133,*,1925164,6.421654,SPEC,21.5g,0,5,0,17,4,2,4,0
23,SDSS J000457.11-000538.7,1.23799,-0.09411,*,1210962,4.039335,SPEC,23.1g,0,8,0,5,3,3,4,0
24,SDSS J000459.62-002546.1,1.24845,-0.42949,G,1368253,4.564,PHOT,23.1g,0,1,0,15,2,1,4,0
25,SDSS J000508.99-005817.4,1.2875,-0.97152,*,1199170,4,PHOT,23.9g,0,1,0,5,2,1,4,0
26,SDSS J000519.47+004729.1,1.33115,0.79144,G,1409025,4.7,PHOT,21.6g,0,1,0,15,2,1,4,0
27,WISEA J000521.54-004801.1,1.34015,-0.80072,*,1274118,4.25,PHOT,23.0g,0,1,0,17,3,1,4,0
28,[TRR2018] J001.35525+00.83048,1.35525,0.83048,QSO,1465985,4.89,PHOT,,0,1,0,0,1,1,0,0
29,SDSS J000525.79+003026.9,1.35747,0.50748,G,1274118,4.25,PHOT,24.1g,0,1,0,15,2,1,4,0
30,SDSS J000527.14+025813.2,1.36311,2.97036,QSO,1231915,4.109226,SPEC,,0,7,0,0,3,4,0,0
31,WISEA J000530.26-003440.3,1.37588,-0.57767,G,1274118,4.25,PHOT,22.0g,0,1,0,27,3,1,4,0
32,SDSS J000531.71-003443.4,1.38213,-0.57872,VisS,1421016,4.74,PHOT,,0,2,0,0,2,1,0,0
33,WISEA J000552.41-000655.5,1.46808,-0.1155,QSO,1758309,5.865086,SPEC,20.5z,0,57,1,54,17,13,0,0
34,SDSS J000554.03+003041.9,1.47515,0.51171,G,1240805,4.13888,SPEC,22.3g,0,9,0,5,4,3,4,0
35,WISEA J000633.38+271448.3,1.63912,27.24678,IrS,1347178,4.4937,SPEC,,0,1,0,12,2,1,0,0
36,WISEA J000637.94-003655.9,1.65832,-0.61562,*,1329683,4.435346,SPEC,23.9g,0,11,0,17,7,7,4,0
37,WISEA J000642.27-010914.9,1.67621,-1.1542,*,1259128,4.2,PHOT,22.6g,0,1,0,17,3,1,4,0
38,WISEA J000651.60-620803.6,1.71504,-62.13436,QSO,1335576,4.455,,18.29,0,29,2,28,10,7,0,0
39,WISEA J000719.18-003616.3,1.83009,-0.60459,*,1274118,4.25,PHOT,22.8g,0,1,0,17,3,1,4,0
40,WISEA J000736.57-570151.6,1.90249,-57.03099,IrS,1277116,4.26,SPEC,,0,1,0,18,4,2,0,0
41,SDSS J000738.12+001752.0,1.90884,0.29779,G,1439004,4.8,PHOT,23.4g,0,1,0,15,2,1,4,0
42,KODIAQ J000738+241724,1.91125,24.29,QSO,1214160,4.05,SUN,18.3,0,16,0,0,3,3,0,0
43,WISEA J000749.13+004119.5,1.95486,0.68879,QSO,1447789,4.829303,SPEC,20.1i,0,36,0,20,15,20,4,0
44,[YWF2017] J002.00498-00.66587,2.00499,-0.66588,QSO,1424014,4.75,PHOT,,0,1,0,0,1,1,0,0
45,WISEA J000825.76-062604.4,2.10738,-6.43461,QSO,1777470,5.929,,,0,9,0,12,5,4,0,0
46,SDSS J000833.54-002742.0,2.13976,-0.46167,*,1259128,4.2,PHOT,22.9g,0,1,0,5,2,1,4,0
47,WISEA J000840.67+002725.9,2.16948,0.4567,G,1320886,4.406,PHOT,23.3g,0,1,0,27,3,1,4,0
48,WISEA J000851.41+361613.5,2.21429,36.27041,QSO,1549927,5.17,SPEC,,0,1,0,12,2,1,0,0
49,SDSS J000928.30-002612.9,2.36793,-0.43693,*,1288508,4.298,PHOT,23.6g,0,2,0,5,3,2,4,0
50,PSO J002.3786+32.8702,2.3787,32.87026,QSO,1828734,6.1,,,0,3,0,0,1,1,0,0
51,WISEA J000932.68+001737.8,2.38634,0.29376,*,1304097,4.35,PHOT,23.1g,0,1,0,17,3,1,4,0
52,WISEA J001023.84+000719.5,2.59911,0.12254,*,1274118,4.25,PHOT,23.4g,0,1,0,17,3,1,4,0
53,WISEA J001115.21+144601.6,2.81348,14.76718,QSO,1489735,4.969221,SPEC,22.2g,0,64,1,66,20,25,12,0
54,WISEA J001124.05-002416.5,2.85064,-0.40477,*,1349066,4.5,PHOT,22.6g,0,1,0,17,3,1,4,0
55,WISEA J001134.54+155137.8,2.89387,15.8604,QSO,1307679,4.361948,SPEC,22.9g,0,30,0,40,8,15,8,0
56,WISEA J001146.48-002440.3,2.94353,-0.41111,G,1349066,4.5,PHOT,23.4g,0,1,0,27,3,1,4,0
57,SDSS J001152.36+000450.0,2.9682,0.08058,*,1319087,4.4,PHOT,23.3g,0,1,0,5,2,1,4,0
58,SDSS J001152.78+010005.2,2.96992,1.00145,QSO,1404484,4.684853,SPEC,20.8r,0,20,0,12,8,11,4,1
59,SDSS J001153.13-111130.0,2.97139,-11.19167,QSO,1677339,5.595,PHOT,20.6g,0,0,0,0,1,1,0,0
60,WISEA J001207.78+094720.0,3.03243,9.78895,QSO,1424007,4.749977,SPEC,,0,6,0,12,3,2,0,0
61,SDSS J001212.94-001948.9,3.05394,-0.33026,*,1304097,4.35,PHOT,24.0g,0,1,0,5,2,1,3,0
62,[YWF2017] J003.20430+00.88504,3.20431,0.88504,QSO,1349066,4.5,PHOT,,0,1,0,0,1,1,0,0
63,WISEA J001252.68+003518.5,3.21922,0.58842,G,1244139,4.15,PHOT,22.3g,0,1,0,27,3,1,4,0
64,[TRR2018] J003.32573+00.83505,3.32573,0.83505,QSO,1501960,5.01,PHOT,,0,1,0,0,1,1,0,0
65,WISEA J001424.83+002753.5,3.60344,0.4649,G,1397033,4.66,PHOT,23.5g,0,1,0,27,3,1,4,0
66,WISEA J001442.86+303203.1,3.67917,30.53425,QSO,1340072,4.47,SUN,18.7,0,9,0,13,4,3,0,0
67,WISEA J001455.36+001405.5,3.73078,0.23476,G,1259128,4.2,PHOT,22.4g,0,1,0,27,3,1,4,0
68,SDSS J001507.09+171143.8,3.78047,17.19516,XrayS,1478880,4.933012,SPEC,,0,4,0,0,3,2,0,0
69,SDSS J001529.86-004904.3,3.87447,-0.81791,*,1477977,4.93,PHOT,26.0g,0,3,0,5,4,3,4,0
70,SDSS J001537.51+021908.7,3.90629,2.3191,QSO,1267822,4.229,,,0,1,0,0,1,2,0,0
71,SDSS J001537.51+021908.8,3.9063,2.31913,QSO,1268537,4.231382,SPEC,,0,7,0,0,2,3,0,0
72,[YWF2017] J004.05305+00.12407,4.05305,0.12407,QSO,1379046,4.6,PHOT,,0,1,0,0,1,1,0,0
73,SDSS J001618.83+005119.0,4.07848,0.85531,*,1304097,4.35,PHOT,25.2g,0,1,0,5,2,1,3,0
74,WISEA J001629.33+011106.8,4.12213,1.18528,G,1274118,4.25,PHOT,22.5g,0,1,0,27,3,1,4,0
75,SDSS J001708.94+005253.6,4.28726,0.88156,G,1212661,4.045,PHOT,22.1g,0,1,0,15,2,1,4,0
76,WISEA J001714.67-100055.5,4.31115,-10.0154,QSO,1506664,5.02569,,25.6g,0,34,0,49,8,15,8,0
77,PSO J004.3936+17.0862,4.39361,17.0863,QSO,1738796,5.8,,,0,6,0,0,1,1,0,0
78,SDSS J001803.85-002922.3,4.51606,-0.48955,G,1244139,4.15,PHOT,22.9g,0,1,0,15,2,1,4,0
79,WISEA J001813.88+142455.5,4.55788,14.41546,QSO,1268040,4.229727,SPEC,21.2g,0,38,0,40,10,17,8,0
80,WISEA J001837.87-352740.7,4.65779,-35.46119,QSO,1244139,4.15,,18.43,0,8,1,12,3,2,0,0
81,SDSS J001859.03-010857.7,4.746,-1.14936,*,1289108,4.3,PHOT,23.4g,0,1,0,5,2,1,4,0
82,WISEA J001915.38-241756.7,4.81408,-24.29916,QSO,1702821,5.68,,,0,3,0,12,2,1,0,0
83,WISEA J001918.41+150611.5,4.82681,15.10316,QSO,1240524,4.137943,SPEC,22.2g,0,30,0,40,8,16,8,0
84,WISEA J001950.01-004041.0,4.95859,-0.67802,QSO,1302749,4.345502,SPEC,21.5g,0,47,0,43,14,25,8,0
85,WISEA J001952.68+004243.8,4.96933,0.71217,G,1289108,4.3,PHOT,23.0g,0,1,0,27,3,1,3,0
86,SDSS J002003.21-003315.8,5.01339,-0.5544,*,1379642,4.60199,SPEC,21.6g,0,2,0,5,3,2,4,0
87,WISEA J002049.34+000602.4,5.20545,0.10067,*,1319087,4.4,PHOT,22.4g,0,1,0,17,3,1,4,0
88,WISEA J002208.03-150539.7,5.53332,-15.09438,QSO,1357460,4.528,,19,0,56,1,16,7,6,0,0
89,SDSS J002257.50+000247.1,5.73961,0.04643,*,1229149,4.1,PHOT,23.3g,0,1,0,5,2,1,4,0
90,SDSS J002313.20+001023.2,5.80503,0.17313,G,1289108,4.3,PHOT,23.4g,0,1,0,15,2,1,4,0
91,WISEA J002320.14+000428.1,5.83394,0.07442,*,1289108,4.3,PHOT,23.4g,0,1,0,17,3,1,4,0
92,WISEA J002330.47-001823.9,5.87712,-0.30659,*,1259128,4.2,PHOT,22.5g,0,1,0,17,3,1,4,0
93,WISEA J002330.74-001835.7,5.87784,-0.3102,G,1518413,5.064881,SPEC,25.9g,0,10,0,27,7,6,4,0
94,SDSS J002332.40+001947.5,5.88503,0.32987,G,1274118,4.25,PHOT,22.6g,0,1,0,15,2,1,4,0
95,WISEA J002343.81+000613.7,5.93202,0.10383,*,1289108,4.3,PHOT,23.1g,0,1,0,17,3,1,4,0
96,[YWF2017] J005.97860+00.13155,5.97861,0.13156,QSO,1244139,4.15,PHOT,,0,1,0,0,1,1,0,0
97,WISEA J002359.06-001102.1,5.99625,-0.18431,*,1373349,4.581,PHOT,24.7g,0,2,0,17,4,2,4,0
98,WISEA J002417.61+000846.4,6.07337,0.1462,QSO,1225822,4.088902,SPEC,20.5r,0,26,0,18,9,14,4,0
99,[YWF2017] J006.11196+00.95165,6.11197,0.95166,QSO,1244139,4.15,PHOT,,0,1,0,0,1,1,0,0
100,PSO J006.1240+39.2219,6.12405,39.22194,QSO,1984926,6.621,1LIN,,0,3,0,0,1,1,0,0
101,SDSS J002431.96-010259.3,6.13319,-1.04983,G,1289108,4.3,PHOT,23.7g,0,1,0,15,2,1,4,0
102,WISEA J002457.91-010146.7,6.24137,-1.02961,*,1274118,4.25,PHOT,22.2g,0,1,0,17,3,1,4,0
103,WISEA J002526.82-014532.5,6.36167,-1.75899,IrS,1516950,5.06,SPEC,,0,2,0,18,6,2,0,0
104,SDSS J002541.04+000608.0,6.42103,0.10223,*,1274118,4.25,PHOT,22.6g,0,1,0,5,2,1,4,0
105,WISEA J002618.67+140946.9,6.57782,14.16296,QSO,1372354,4.577679,SPEC,23.1g,0,28,0,40,7,12,8,0
106,SDSS J002628.83+004534.0,6.62015,0.75944,*,1199170,4,PHOT,21.4g,0,1,0,5,2,1,4,0
107,SDSS J002649.35+002330.1,6.70565,0.39172,G,1293904,4.316,PHOT,22.9g,0,1,0,18,3,1,4,0
108,[YWF2017] J006.80187-00.15608,6.80187,-0.15609,QSO,1229149,4.1,PHOT,,0,1,0,0,1,1,0,0
109,SDSS J002714.04-003036.6,6.80851,-0.51019,*,1259128,4.2,PHOT,22.4g,0,1,0,5,2,1,4,0
110,WISEA J002716.90+001657.2,6.82059,0.28247,G,1274118,4.25,PHOT,22.4g,0,1,0,27,3,1,4,0
111,WISEA J002740.22+004922.9,6.91726,0.82317,*,1275617,4.255,PHOT,23.4g,0,1,0,17,3,1,4,0
112,[YWF2017] J006.92831-00.90153,6.92831,-0.90153,QSO,1349066,4.5,PHOT,,0,1,0,0,1,1,0,0
113,[TRR2018] J006.95016+01.00278,6.95016,1.00278,QSO,1418318,4.731,PHOT,,0,1,0,0,1,1,0,0
114,SDSS J002757.31-001203.2,6.98881,-0.2009,*,1267523,4.228,PHOT,23.7g,0,1,0,5,2,1,4,0
115,WISEA J002758.93-005357.5,6.99555,-0.89914,*,1274118,4.25,PHOT,22.5g,0,1,0,17,3,1,4,0
116,WISEA J002806.61+045725.4,7.02733,4.95714,G,1810747,6.04,,,0,17,0,19,8,7,0,0
117,WISEA J002807.46-000842.3,7.03103,-0.14531,*,1304097,4.35,PHOT,22.7g,0,1,0,17,3,1,4,0
118,WISEA J002931.47+181836.4,7.38103,18.31017,QSO,1836692,6.126543,SPEC,,0,3,0,12,3,2,0,0
119,WISEA J002931.45-010946.2,7.38136,-1.1627,*,1259128,4.2,PHOT,22.4g,0,1,0,17,3,1,4,0
120,PC 0027+0525,7.45821,5.70123,QSO,1228849,4.099,,21.49,0,14,0,6,2,1,0,0
121,WISEA J002956.42-714638.5,7.48533,-71.77725,IrS,1228550,4.098,,16.5,0,3,0,22,4,1,0,0
122,PC 0027+0521,7.51945,5.63703,QSO,1262126,4.21,,22,0,11,0,0,1,1,0,0
123,WISEA J003012.45-001540.7,7.55191,-0.26121,*,1274118,4.25,PHOT,23.4g,0,1,0,17,3,1,4,0
124,WISEA J003016.18+170237.2,7.56829,17.0445,QSO,1283711,4.282,,19.3,0,10,0,12,3,2,0,0
125,SDSS J003019.70+001449.6,7.58209,0.24713,G,1349066,4.5,PHOT,23.2g,0,1,0,15,2,1,4,0
126,WISEA J003034.37-512946.4,7.64321,-51.49619,QSO,1251334,4.174,,18.57,0,19,2,17,9,4,0,0
127,SDSS J003117.70+001704.9,7.82377,0.28475,*,1299808,4.335691,SPEC,23.1g,0,11,0,5,5,6,4,0
128,WISEA J003126.77+150739.7,7.86167,15.12764,QSO,1286653,4.291811,SPEC,22.2g,0,45,1,43,13,18,8,0
129,WISEA J003137.11-004532.2,7.90465,-0.75897,IrS,1279814,4.269,PHOT,,0,1,0,12,2,1,0,0
130,[YWF2017] J007.91707-00.72152,7.91707,-0.72152,QSO,1394035,4.65,PHOT,,0,1,0,0,1,1,0,0
131,SDSS J003210.77+005928.5,8.0449,0.99126,*,1349066,4.5,PHOT,23.9g,0,1,0,5,2,1,4,0
132,WISEA J003218.74-003241.0,8.07785,-0.54453,G,1349066,4.5,PHOT,22.8g,0,1,0,27,3,1,4,0
133,[YWF2017] J008.13999+00.58261,8.14,0.58261,QSO,1319087,4.4,PHOT,,0,1,0,0,1,1,0,0
134,SDSS J003304.82-003102.4,8.27013,-0.51733,*,1360122,4.536879,SPEC,23.9g,0,8,0,5,4,3,4,0
135,SDSS J003311.40-012524.9,8.2975,-1.42358,QSO,1837728,6.13,SUN,22.4z,0,15,0,3,6,6,0,0
136,WISEA J003341.84+012703.4,8.42458,1.45158,QSO,1284585,4.284915,SPEC,,0,7,0,12,3,3,0,0
137,WISEA J003401.17-003357.9,8.50486,-0.56624,*,1244139,4.15,PHOT,22.1g,0,1,0,17,3,1,4,0
138,WISEA J003411.55+002103.0,8.54806,0.35093,*,1244139,4.15,PHOT,22.1g,0,1,0,17,3,1,4,0
139,WISEA J003412.33-000542.5,8.55143,-0.0947,G,1259128,4.2,PHOT,22.1g,0,1,0,27,3,1,4,0
140,SDSS J003435.03+005539.8,8.64598,0.92774,G,1259128,4.2,PHOT,22.5g,0,1,0,15,2,1,4,0
141,SDSS J003448.37+002300.1,8.70154,0.38338,*,1250734,4.172,PHOT,23.8g,0,2,0,5,3,2,4,0
142,WISEA J003454.59+163920.6,8.72842,16.65542,QSO,1287009,4.293,,19.5,0,21,1,12,4,3,0,0
143,WISEA J003507.38+153002.0,8.78094,15.50055,QSO,1320832,4.40582,,20.3g,0,25,0,40,7,14,6,0
144,WISEA J003525.26+004002.7,8.85535,0.66746,QSO,1427610,4.761993,SPEC,23.7g,0,43,1,24,15,20,4,0
145,SDSS J003557.09-001722.2,8.98791,-0.28953,*,1215659,4.055,PHOT,22.4g,0,4,0,5,3,3,4,0
146,WISEA J003605.66+010344.8,9.02356,1.06253,*,1413191,4.713897,SPEC,24.7g,0,11,0,17,9,7,4,0
147,WISEA J003618.83-004629.8,9.0785,-0.77495,QSO,1211239,4.040257,SPEC,19.8i,0,30,0,20,14,19,4,0
148,WISEA J003641.47-432038.2,9.17278,-43.34391,G,1465985,4.89,PHOT,23.2R,0,12,0,54,10,3,0,0
149,SDSS J003709.02-005433.6,9.28759,-0.90936,*,1366454,4.558,PHOT,24.2g,0,1,0,5,2,1,4,0
150,WISEA J003711.24-000933.4,9.2966,-0.15908,*,1259128,4.2,PHOT,22.5g,0,1,0,17,3,1,4,0
151,WISEA J003714.12-005604.6,9.30882,-0.93449,QSO,1304097,4.35,,22.43,0,9,0,29,4,3,4,0
152,SDSS J003716.52+032327.7,9.31887,3.39104,QSO,1218775,4.065394,SPEC,,0,7,0,0,2,3,0,0
153,SDSS J003716.53+032327.6,9.31888,3.391,QSO,1218956,4.066,,,0,1,0,0,1,2,0,0
154,SDSS J003725.51+005724.4,9.35629,0.95679,G,1379046,4.6,PHOT,24.1g,0,1,0,15,2,1,4,0
155,WISEA J003725.73-080707.8,9.35733,-8.11902,QSO,1714813,5.72,,,0,3,0,12,2,1,0,0
156,WISEA J003726.40+001321.0,9.36003,0.22249,*,1244139,4.15,PHOT,22.1g,0,1,0,17,3,1,4,0
157,SDSS J003749.19+155208.3,9.45497,15.86898,QSO,1220857,4.07234,,21.6g,0,31,0,29,6,14,8,0
158,[VCV96] BR 0035-25,9.49459,-25.22512,QSO,1244139,4.15,,18.9,0,5,0,0,1,1,0,0
159,WISEA J003802.26-002355.7,9.5096,-0.3988,*,1274118,4.25,PHOT,22.4g,0,1,0,17,3,1,4,0
160,WISEA J003813.56+005731.0,9.55659,0.95885,*,1217727,4.061898,SPEC,22.2g,0,10,0,17,8,7,4,0
161,SDSS J003851.92-003523.6,9.71637,-0.58989,G,1337374,4.461,PHOT,24.5g,0,1,0,15,2,1,4,0
162,WISEA J003854.56+003627.2,9.7275,0.60755,G,1259128,4.2,PHOT,22.5g,0,1,0,27,3,1,4,0
163,WISEA J003856.53-102553.8,9.73551,-10.43164,QSO,1783765,5.95,MOD,,0,9,0,12,3,2,0,0
164,WISEA J003859.59+004858.2,9.74844,0.81647,QSO,1352064,4.51,,21.98,0,10,0,17,4,3,4,0
165,[YWF2017] J009.76261+00.60146,9.76261,0.60147,QSO,1289108,4.3,PHOT,,0,1,0,0,1,1,0,0
166,[YWF2017] J009.76308+00.60729,9.76308,0.6073,QSO,1379046,4.6,PHOT,,0,1,0,0,1,1,0,0
167,WISEA J003910.32+003538.3,9.79302,0.59374,G,1244139,4.15,PHOT,23.0g,0,1,0,27,3,1,4,0
168,[YWF2017] J009.79604+00.59814,9.79604,0.59815,QSO,1334077,4.45,PHOT,,0,1,0,0,1,1,0,0
169,[FGD2015] J009.81773+00.87687,9.81773,0.87687,*Cl,1379046,4.6,PHOT,,0,2,0,3,2,1,0,0
170,SDSS J003931.37-100445.9,9.88072,-10.07944,QSO,1269621,4.235,PHOT,22.5g,0,1,0,0,1,1,0,0
171,SDSS J003935.49+003511.6,9.89789,0.58656,G,1274118,4.25,PHOT,22.5g,0,1,0,15,2,1,4,0
172,SVA1_COADD 2970414527,9.95179,-44.6164,IrS,1211461,4.041,SPEC,,0,1,0,15,2,1,0,0
173,WISEA J003958.50+010927.8,9.99371,1.15788,*,1817929,6.063957,SPEC,21.7g,0,3,0,21,5,2,4,0
174,[YWF2017] J010.02431-01.13002,10.02432,-1.13002,QSO,1304097,4.35,PHOT,,0,1,0,0,1,1,0,0
175,SDSS J004018.69+050127.4,10.0779,5.02428,QSO,1340447,4.471248,SPEC,,0,7,0,0,2,3,0,0
176,SDSS J004018.70+050127.4,10.07792,5.0243,QSO,1340372,4.471,,,0,1,0,0,1,2,0,0
177,[YWF2017] J010.15753+00.31361,10.15753,0.31362,QSO,1319087,4.4,PHOT,,0,1,0,0,1,1,0,0
178,SDSS J004046.20+033655.4,10.1925,3.6154,QSO,1230648,4.105,,,0,1,0,0,1,2,0,0
179,SDSS J004046.20+033655.2,10.19252,3.61536,QSO,1230591,4.104808,SPEC,,0,7,0,0,2,3,0,0
180,WISEA J004049.57+004135.7,10.20689,0.69359,*,1274118,4.25,PHOT,23.4g,0,1,0,17,3,1,3,0
181,WISEA J004109.21-010941.1,10.2884,-1.1615,*,1274118,4.25,PHOT,22.3g,0,1,0,17,3,1,4,0
182,SDSS J004112.85-000331.1,10.30356,-0.05864,G,1229149,4.1,PHOT,22.8g,0,1,0,15,2,1,4,0
183,WISEA J004122.01+003509.9,10.34167,0.58613,G,1349066,4.5,PHOT,21.7g,0,1,0,27,3,1,4,0
184,WISEA J004217.77+000133.8,10.57412,0.02596,*,1274118,4.25,PHOT,22.1g,0,1,0,17,3,1,4,0
185,SDSS J004247.55+005553.9,10.69813,0.93164,*,1274118,4.25,PHOT,22.8g,0,1,0,5,2,1,4,0
186,[YWF2017] J010.72055+00.58803,10.72055,0.58804,QSO,1289108,4.3,PHOT,,0,1,0,0,1,1,0,0
187,SDSS J004256.03+003400.0,10.73349,0.56668,G,1244139,4.15,PHOT,22.6g,0,2,0,16,3,1,4,1
188,SDSS J004314.35+000337.6,10.80983,0.06047,G,1229149,4.1,PHOT,22.6g,0,1,0,15,2,1,4,0
189,SDSS J004328.99-000548.8,10.8708,-0.09691,G,1334077,4.45,PHOT,23.9g,0,1,0,15,2,1,4,0
190,SDSS J004332.33-000517.2,10.88473,-0.08813,G,1259128,4.2,PHOT,22.8g,0,1,0,15,2,1,4,0
191,WISEA J004344.29+004531.2,10.9346,0.75855,G,1335875,4.456,PHOT,21.9g,0,1,0,27,3,1,4,0
192,WISEA J004352.44+000624.6,10.96854,0.10684,G,1274118,4.25,PHOT,22.7g,0,1,0,27,3,1,4,0
193,SDSS J004356.32+000603.8,10.9847,0.10107,G,1274118,4.25,PHOT,22.7g,0,1,0,15,2,1,4,0
194,WISEA J004359.42+000137.3,10.99761,0.02711,G,1259128,4.2,PHOT,21.3g,0,1,0,27,3,1,4,0
195,WISEA J004404.68-004059.5,11.01918,-0.68365,*,1324961,4.419595,SPEC,24.6g,0,9,0,17,7,5,4,0
196,WISEA J004413.85-011307.4,11.05771,-1.21872,G,1274118,4.25,PHOT,22.5g,0,1,0,27,3,1,4,0
197,[YWF2017] J011.12381-00.80088,11.12381,-0.80089,QSO,1214160,4.05,PHOT,,0,1,0,0,1,1,0,0
198,SDSS J004440.08+004148.1,11.16703,0.69672,*,1229149,4.1,PHOT,23.2g,0,1,0,5,2,1,4,0
199,[YWF2017] J011.20886+00.48059,11.20887,0.48059,QSO,1379046,4.6,PHOT,,0,1,0,0,1,1,0,0
200,WISEA J004453.79+000041.2,11.22383,0.01162,*,1208763,4.032,PHOT,23.9g,0,2,0,17,4,2,4,0
201,WISEA J004501.90+002848.6,11.2579,0.48027,G,1304097,4.35,PHOT,22.3g,0,1,0,27,3,1,4,0
202,[YWF2017] J011.26065+00.26346,11.26065,0.26346,QSO,1244139,4.15,PHOT,,0,1,0,0,1,1,0,0
203,SDSS J004503.87-030153.9,11.26617,-3.03164,QSO,1211732,4.041901,SPEC,,0,9,0,0,3,4,0,0
204,SDSS J004503.88-030153.7,11.26617,-3.0316,QSO,1211761,4.042,,,0,1,0,0,1,2,0,0
205,[YWF2017] J011.29466+00.12696,11.29466,0.12697,QSO,1304097,4.35,PHOT,,0,1,0,0,1,1,0,0
206,[YWF2017] J011.32792+00.35576,11.32793,0.35576,QSO,1229149,4.1,PHOT,,0,1,0,0,1,1,0,0
207,SDSS J004528.10+000056.3,11.3671,0.01566,G,1364056,4.55,PHOT,22.0g,0,1,0,15,2,1,4,0
208,WISEA J004533.59+090158.0,11.38999,9.03278,IrS,1924668,6.42,MOD,,0,2,0,12,2,1,0,0
209,SDSS J004544.87+004148.2,11.43699,0.69673,G,1229149,4.1,PHOT,22.4g,0,1,0,15,2,1,3,0
210,WISEA J004546.82-002439.1,11.44511,-0.41093,QSO,1243820,4.148935,SPEC,20.0g,0,19,0,23,11,12,4,0
211,WISEA J004623.66-283748.6,11.59862,-28.63019,IrS,1795757,5.99,MOD,,0,2,0,12,2,1,0,0
212,SDSS J004632.78+004842.2,11.63659,0.81173,*,1274118,4.25,PHOT,23.3g,0,1,0,5,2,1,4,0
213,WISEA J004716.36-003550.8,11.81808,-0.5973,QSO,1252231,4.176994,SPEC,20.1i,0,22,0,18,11,15,3,0
214,SDSS J004730.46+002620.5,11.87697,0.439,G,1804806,6.020185,SPEC,21.0g,0,8,0,16,4,2,4,0
215,WISEA J004734.38+150953.7,11.89327,15.16492,*,1227115,4.093214,SPEC,20.2g,0,6,0,21,6,2,4,0
216,[TRR2018] J011.95645-00.02072,11.95645,-0.02072,QSO,1281313,4.274,PHOT,,0,1,0,0,1,1,0,0
217,WISEA J004752.68+005810.4,11.96942,0.96958,*,1989109,6.634951,SPEC,21.9g,0,5,0,17,4,3,4,0
218,[HB89] 0046-293 NED01,12.123,-29.05589,QSO,1203367,4.014,,19.5,0,33,0,12,3,2,0,0
219,WISEA J004834.55-244205.8,12.14404,-24.70167,QSO,1224053,4.083,,18.94,0,12,0,12,4,3,0,0
220,[TRR2018] J012.19014-00.43055,12.19014,-0.43055,QSO,1424314,4.751,PHOT,,0,1,0,0,1,1,0,0
221,WISEA J004905.93-003135.1,12.27477,-0.5262,QSO,1230209,4.103535,SPEC,24.7g,0,26,0,18,9,14,4,0
