No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
1189,HSCS J020258-025153,30.74254,-2.86489,QSO,1807749,6.03,SPEC,,0,1,0,0,1,1,0,0
1190,HSCS J0202-0251,30.74254,-2.86489,QSO,1807749,6.03,1LIN,,0,1,0,0,1,1,0,0
1191,WISEA J020259.47-005738.1,30.74803,-0.96076,*,1273519,4.248,PHOT,24.0g,0,1,0,17,3,1,4,0
1192,SDSS J020307.37+004815.6,30.78073,0.80435,G,1368253,4.564,PHOT,22.0g,0,1,0,15,2,1,4,0
1193,WISEA J020326.47-003953.6,30.86028,-0.665,QSO,1246023,4.156286,SPEC,19.4i,0,30,0,20,12,16,4,0
1194,WISEA J020332.38+001229.0,30.88492,0.20811,QSO,1714813,5.72,SUN,21.2z,0,35,0,42,13,10,0,0
1195,WISEA J020457.81+010804.0,31.24105,1.13439,*,1424014,4.75,PHOT,25.5g,0,1,0,17,3,1,4,0
1196,[YWF2017] J031.35527-01.20321,31.35527,-1.20321,QSO,1349066,4.5,PHOT,,0,1,0,0,1,1,0,0
1197,WISEA J020532.61+001903.4,31.38585,0.31774,G,1264825,4.219,PHOT,21.2g,0,1,0,27,3,1,4,0
1198,SDSS J020541.06+010148.6,31.42109,1.03018,*,2096418,6.992898,SPEC,22.0g,0,2,0,5,3,2,4,0
1199,CFHTLS J020546.63-095523.7,31.44429,-9.92325,QSO,1609886,5.37,SPEC,,0,1,0,4,1,1,0,0
1200,WISEA J020551.60-002717.7,31.46501,-0.45494,*,1274118,4.25,PHOT,22.5g,0,1,0,17,3,1,4,0
1201,WISEA J020607.48+011324.6,31.53123,1.22365,*,1259128,4.2,PHOT,23.4g,0,1,0,17,3,1,4,0
1202,HSCS J020611-025537,31.54667,-2.92717,QSO,1807749,6.03,SPEC,,0,1,0,0,1,1,0,0
1203,HSCS J0206-0255,31.54667,-2.92717,QSO,1807749,6.03,1LIN,,0,1,0,0,1,1,0,0
1204,CFHTLS J020618.65-040855.5,31.57771,-4.14875,QSO,1459989,4.87,SPEC,,0,1,0,4,1,1,0,0
1205,[YWF2017] J031.63708-00.85369,31.63708,-0.8537,QSO,1349066,4.5,PHOT,,0,1,0,0,1,1,0,0
1206,SDSS J020646.10-005830.0,31.69208,-0.97501,*,1349066,4.5,PHOT,24.6g,0,1,0,5,2,1,4,0
1207,WISEA J020651.33+121624.3,31.71406,12.27344,QSO,1442002,4.81,,24.05,0,16,0,36,8,6,4,0
1208,WISEA J020703.42+094059.3,31.76458,9.68306,QSO,1239942,4.136,,19.2,0,7,1,12,3,2,0,0
1209,WISEA J020730.12+031853.8,31.87552,3.31491,QSO,1217347,4.060632,SPEC,,0,7,0,12,3,3,0,0
1210,[YWF2017] J031.96420-00.20761,31.9642,-0.20762,QSO,1199170,4,PHOT,,0,1,0,0,1,1,0,0
1211,WISEA J020804.32-011235.5,32.01796,-1.20953,QSO,1567915,5.23,,,0,2,0,12,3,3,0,0
1212,WISEA J020851.63-000425.8,32.21495,-0.07388,*,1600115,5.337409,SPEC,20.5g,0,4,0,20,5,2,4,0
1213,WISEA J020854.09+001411.1,32.2254,0.23655,G,1259128,4.2,PHOT,22.7g,0,1,0,27,3,1,4,0
1214,SDSS J020916.61+000627.1,32.31924,0.10753,*,1334077,4.45,PHOT,25.1g,0,1,0,5,2,1,3,0
1215,SDSS J020925.24-000249.7,32.3552,-0.04717,*,1261046,4.206397,SPEC,23.4g,0,9,0,5,4,5,4,0
1216,SDSS J020932.65+000528.5,32.38607,0.09127,G,1259128,4.2,PHOT,22.8g,0,1,0,15,2,1,4,0
1217,WISEA J020940.78-001603.8,32.41988,-0.26796,G,1274118,4.25,PHOT,22.0g,0,1,0,27,3,1,4,0
1218,[YWF2017] J032.42043+00.86920,32.42043,0.86921,QSO,1379046,4.6,PHOT,,0,1,0,0,1,1,0,0
1219,WISEA J020944.62+051713.8,32.43588,5.28712,QSO,1254268,4.183786,SPEC,17.8,0,54,1,42,19,13,0,0
1220,SDSS J020957.80+010033.6,32.49088,1.00936,G,1592572,5.312246,SPEC,22.8g,0,3,0,16,4,2,3,0
1221,KODIAQ J021013-045620,32.55496,-4.93914,QSO,1930064,6.438,1LIN,22.6z,0,30,0,4,13,12,0,0
1222,SDSS J021042.53+000409.3,32.67723,0.06925,*,1289108,4.3,PHOT,23.1g,0,1,0,5,2,1,4,1
1223,SDSS J0210-0018,32.67984,-0.30513,QSO,1417133,4.727045,SPEC,22.7g,0,77,1,63,26,36,9,0
1224,WISEA J021056.67+000305.0,32.73613,0.05131,QSO,1513952,5.05,SPEC,,0,4,0,12,4,5,0,0
1225,WISEA J021101.72+002812.8,32.75741,0.47027,G,1305297,4.354,PHOT,21.1g,0,1,0,27,3,1,4,0
1226,SDSS J0211-0009,32.76133,-0.15286,QSO,1474342,4.917875,SPEC,24.8,0,41,1,18,11,10,0,1
1227,WISEA J021113.23+005707.1,32.80521,0.952,*,1244139,4.15,PHOT,23.2g,0,1,0,17,3,1,4,0
1228,SHELLQs J0211-0203,32.93554,-2.05108,QSO,1909678,6.37,SPEC,,0,1,0,0,1,1,0,0
1229,SDSS J021217.15+000043.8,33.0715,0.01219,G,1315789,4.389,PHOT,21.1g,0,1,0,15,2,1,4,0
1230,WISEA J021236.80-002648.4,33.15347,-0.4468,*,1274118,4.25,PHOT,22.4g,0,1,0,17,3,1,4,0
1231,SDSS J021310.20+011009.1,33.29252,1.1692,*,1264299,4.217247,SPEC,22.2g,0,9,0,5,4,4,4,0
1232,SDSS J021316.68-000144.2,33.31953,-0.02896,*,1214160,4.05,PHOT,22.7g,0,2,0,5,2,1,4,0
1233,SHELLQs J0213-0626,33.32058,-6.43756,QSO,2014606,6.72,SPEC,,0,1,0,0,1,1,0,0
1234,SDSS J021322.44-005833.6,33.3435,-0.97601,G,1244139,4.15,PHOT,24.5g,0,1,0,15,2,1,4,0
1235,SDSS J021336.22-002829.6,33.40094,-0.47489,*,1289108,4.3,PHOT,24.4g,0,1,0,5,2,1,3,0
1236,WISEA J021338.61-051616.0,33.41098,-5.27114,QSO,1362237,4.543933,SPEC,,0,6,0,12,5,3,0,0
1237,SDSS J021350.50+022338.5,33.46045,2.39403,QSO,1232536,4.111296,SPEC,,0,9,0,0,5,5,0,0
1238,SDSS J021350.51+022338.4,33.46046,2.394,QSO,1231847,4.109,,,0,2,0,0,1,2,0,0
1239,SDSS J021352.44+030623.1,33.46852,3.10644,QSO,1226473,4.091073,SPEC,,0,7,0,0,2,3,0,0
1240,WISEA J021402.00-003942.8,33.50834,-0.6619,IrS,1266324,4.224,PHOT,,0,1,0,12,2,1,0,0
1241,2XMM J021402.0-003939,33.50847,-0.66104,XrayS,1244139,4.15,PHOT,,0,3,0,0,2,1,0,0
1242,[YWF2017] J033.52869+01.12187,33.52869,1.12188,QSO,1244139,4.15,PHOT,,0,1,0,0,1,1,0,0
1243,WISEA J021419.38-010716.8,33.58092,-1.12136,QSO,1390721,4.638946,,20.5i,0,24,0,18,8,11,4,0
1244,SDSS J021508.12+002334.8,33.78386,0.39302,G,1259128,4.2,PHOT,22.5g,0,1,0,15,2,1,4,0
1245,SDSS J021516.47+003221.2,33.81865,0.53924,*,1409025,4.7,PHOT,24.6g,0,1,0,5,2,1,4,0
1246,SDSS J021518.70+000409.5,33.82794,0.06932,G,1274118,4.25,PHOT,22.2g,0,1,0,15,2,1,4,0
1247,SDSS J021520.29+000342.3,33.83457,0.06176,*,1199170,4,PHOT,21.5g,0,1,0,5,2,1,4,0
1248,CFHTLS J021523.27-052945.8,33.84696,-5.49606,QSO,1537936,5.13,SPEC,,0,1,0,4,1,1,0,0
1249,WISEA J021527.31-060359.5,33.8637,-6.06665,QSO,1218537,4.064603,SPEC,,0,6,0,12,4,3,0,0
1250,SDSS J021532.53+001825.6,33.88558,0.30711,*,1349066,4.5,PHOT,23.5g,0,1,0,5,2,1,4,0
1251,SDSS J021532.60+001407.2,33.88584,0.23535,G,1274118,4.25,PHOT,22.5g,0,1,0,15,2,1,4,0
1252,[YWF2017] J033.95175+00.27789,33.95175,0.27789,QSO,1199170,4,PHOT,,0,1,0,0,1,1,0,0
1253,WISEA J021602.08+001557.9,34.00871,0.26636,*,1304097,4.35,PHOT,22.9g,0,1,0,17,3,1,4,0
1254,SDSS J021605.93-004204.6,34.02472,-0.70131,*,1203967,4.016,PHOT,23.1g,0,2,0,5,3,2,4,0
1255,SDSS J021614.02+043535.9,34.05842,4.59331,QSO,1211396,4.040781,SPEC,,0,7,0,0,2,3,0,0
1256,SDSS J021615.48+071709.4,34.06452,7.28597,QSO,1205534,4.021227,SPEC,,0,8,0,0,3,3,0,0
1257,SDSS J021615.49+071709.6,34.06454,7.286,QSO,1203667,4.015,,,0,1,0,0,1,2,0,0
1258,SDSS J021616.32-004001.7,34.06801,-0.66714,*,1259128,4.2,PHOT,22.8g,0,1,0,5,2,1,4,0
1259,SDSS J021616.79+001824.7,34.06998,0.30689,G,1274118,4.25,PHOT,22.2g,0,1,0,15,2,1,4,0
1260,WISEA J021624.15+230409.2,34.10067,23.0693,QSO,1576909,5.26,SPEC,,0,1,0,12,2,1,0,0
1261,CFHQS J021627-045534,34.11588,-4.92614,G,1801753,6.01,SPEC,27.3i,0,12,1,10,9,8,0,0
1262,SDSS J021633.29+000038.6,34.13874,0.01075,G,1273818,4.249,PHOT,23.8g,0,1,0,15,2,1,4,0
1263,WISEA J021639.01-522620.3,34.16258,-52.43898,IrS,1921670,6.41,SPEC,,0,1,0,12,2,1,0,0
1264,WISEA J021639.97+064008.0,34.16654,6.66894,QSO,1254979,4.18616,SPEC,,0,8,0,12,3,2,0,0
1265,WISEA J021656.69-004208.6,34.23624,-0.70228,*,1244139,4.15,PHOT,22.0g,0,1,0,17,3,1,4,0
1266,SDSS J021703.72-043738.3,34.26543,-4.62734,VisS,1247749,4.162041,SPEC,22.5r,0,12,0,25,12,9,0,0
1267,SDSS J021709.09-000131.6,34.28791,-0.02546,*,1319087,4.4,PHOT,23.0g,0,1,0,5,2,1,4,0
1268,WISEA J021712.90-054109.8,34.30405,-5.6861,G,1369446,4.567981,SPEC,22.0r,0,11,0,22,10,7,0,0
1269,HSCS J0217-0208,34.33996,-2.14794,QSO,1858714,6.2,1LIN,,0,2,0,0,1,1,0,0
1270,WISEA J021723.79-043514.1,34.3493,-4.58731,QSO,1214160,4.05,PHOT,22.1V,0,8,0,39,11,3,0,0
1271,WISEA J021736.77+470826.5,34.40317,47.14069,QSO,1442002,4.81,SPEC,,0,1,0,12,2,1,0,0
1272,WISEA J021807.40-050316.5,34.53098,-5.0548,G,1359365,4.534352,SPEC,22.6B,0,16,0,47,13,10,0,1
1273,WISEA J021821.07-002745.6,34.58783,-0.46269,QSO,1531940,5.11,,,0,2,0,12,3,3,0,0
1274,SDSS J021825.59-002248.6,34.60665,-0.38019,G,1229149,4.1,PHOT,22.6g,0,1,0,15,2,1,4,0
1275,WISEA J021844.44-044824.9,34.68526,-4.80684,VisS,1371447,4.574655,SPEC,23.7B,0,14,0,40,14,9,0,5
1276,SSTSL2 J021901.87-051114.5,34.75761,-5.18729,QSO,1244139,4.15,PHOT,23.3V,0,6,0,26,6,3,0,0
1277,WISEA J021902.35+000808.1,34.75993,0.13552,G,1259128,4.2,PHOT,22.5g,0,1,0,27,3,1,4,0
